#depth cm	Temp K	Htot erg/cm3/s	Ctot erg/cm3/s	cool fracs
5.00000e-01	1.5849e+05	4.7913e-28	3.9811e-22	O  4 0.0	0.4595535	N  4 0.0	0.0902883	O  5 0.0	0.0885127	O  3 0.0	0.0798357	C  4 0.0	0.0438493 
5.00000e-01	1.7783e+05	3.8482e-28	4.1421e-22	O  4 0.0	0.4564294	O  5 0.0	0.1788395	N  4 0.0	0.0679206	O  3 0.0	0.0483765	Ne 4 0.0	0.0310403 
5.00000e-01	1.9953e+05	3.0840e-28	4.2536e-22	O  4 0.0	0.4025128	O  5 0.0	0.3034053	N  4 0.0	0.0354141	Ne 5 0.0	0.0325773	O  3 0.0	0.0269750 
5.00000e-01	2.2387e+05	2.5364e-28	4.3665e-22	O  5 0.0	0.4240234	O  4 0.0	0.3069013	Ne 5 0.0	0.0460448	O  6 0.0	0.0377190	Ne 4 0.0	0.0189700 
5.00000e-01	2.5119e+05	2.2818e-28	4.3416e-22	O  5 0.0	0.4878879	O  4 0.0	0.2011466	O  6 0.0	0.0913709	Ne 5 0.0	0.0569083	Ne 4 0.0	0.0127918 
5.00000e-01	2.8184e+05	2.3186e-28	3.8312e-22	O  5 0.0	0.4609132	O  6 0.0	0.1710226	O  4 0.0	0.1125228	Ne 5 0.0	0.0683005	Ne 6 0.0	0.0267857 
5.00000e-01	3.1623e+05	2.3894e-28	2.8846e-22	O  5 0.0	0.3448472	O  6 0.0	0.2403452	Ne 5 0.0	0.0834656	Ne 6 0.0	0.0623386	O  4 0.0	0.0514654 
5.00000e-01	3.5481e+05	2.2574e-28	2.1159e-22	O  6 0.0	0.2465037	O  5 0.0	0.1973855	Ne 6 0.0	0.1227888	Ne 5 0.0	0.0913912	Fe 8 0.0	0.0259024 
5.00000e-01	3.9811e+05	2.0002e-28	1.7355e-22	O  6 0.0	0.1937701	Ne 6 0.0	0.1808747	O  5 0.0	0.0902861	Ne 5 0.0	0.0780987	Fe 8 0.0	0.0511851 
5.00000e-01	4.4668e+05	1.7343e-28	1.5972e-22	Ne 6 0.0	0.1984048	O  6 0.0	0.1306095	Ne 7 0.0	0.0937407	Fe 8 0.0	0.0777256	Ne 5 0.0	0.0516054 
5.00000e-01	5.0119e+05	1.5049e-28	1.5544e-22	Ne 6 0.0	0.1673268	Ne 7 0.0	0.1433388	Fe 8 0.0	0.0970403	O  6 0.0	0.0839792	Fe 9 0.0	0.0626499 
5.00000e-01	5.6234e+05	1.3219e-28	1.5002e-22	Ne 7 0.0	0.1603748	Fe 9 0.0	0.1081034	Ne 6 0.0	0.1078050	Fe 8 0.0	0.1071843	Mg 7 0.0	0.0620308	O  6 0.0	0.0556617 
5.00000e-01	6.3096e+05	1.1762e-28	1.3948e-22	Fe 9 0.0	0.1665302	Ne 7 0.0	0.1259454	Fe 8 0.0	0.1091362	Mg 7 0.0	0.0713899	Ne 8 0.0	0.0666159	Ne 6 0.0	0.0506574 
5.00000e-01	7.0795e+05	1.0496e-28	1.3032e-22	Fe 9 0.0	0.2225862	Fe 8 0.0	0.0992392	Ne 7 0.0	0.0703898	Mg 7 0.0	0.0682666	Mg 8 0.0	0.0646089	Ne 8 0.0	0.0645964 
5.00000e-01	7.9433e+05	9.3452e-29	1.2670e-22	Fe 9 0.0	0.2508252	Mg 8 0.0	0.0824365	Fe 8 0.0	0.0780409	Fe10 0.0	0.0741234	Mg 7 0.0	0.0525018 
5.00000e-01	8.9125e+05	8.3000e-29	1.2623e-22	Fe 9 0.0	0.2426827	Fe10 0.0	0.1176416	Mg 8 0.0	0.0807948	Fe 8 0.0	0.0534757	Mg 9 0.0	0.0508501 
5.00000e-01	1.0000e+06	7.3522e-29	1.2486e-22	Fe 9 0.0	0.2034789	Fe10 0.0	0.1563582	Fe11 0.0	0.0684579	Mg 9 0.0	0.0632646	Mg 8 0.0	0.0591976	Si 9 0.0	0.0535572 
5.00000e-01	1.1220e+06	6.4929e-29	1.2064e-22	Fe10 0.0	0.1717591	Fe 9 0.0	0.1457570	Fe11 0.0	0.1218774	Si 9 0.0	0.0676179	Mg 9 0.0	0.0542698 
5.00000e-01	1.2589e+06	5.7291e-29	1.1543e-22	Fe11 0.0	0.1661952	Fe10 0.0	0.1488711	Fe 9 0.0	0.0845108	Fe12 0.0	0.0782842	Si 9 0.0	0.0700481 
5.00000e-01	1.4125e+06	5.0910e-29	1.1008e-22	Fe11 0.0	0.1644171	Fe12 0.0	0.1214182	Fe10 0.0	0.0962121	Fe13 0.0	0.0828547	Si 9 0.0	0.0585110	Si10 0.0	0.0576329 
5.00000e-01	1.5849e+06	4.5838e-29	1.0268e-22	Fe13 0.0	0.1394141	Fe12 0.0	0.1279293	Fe11 0.0	0.1136345	Fe14 0.0	0.0771706	Si10 0.0	0.0556440 
5.00000e-01	1.7783e+06	4.1638e-29	9.0285e-23	Fe13 0.0	0.1521543	Fe14 0.0	0.1315442	Fe12 0.0	0.0901631	Fe15 0.0	0.0766647	Fe11 0.0	0.0538745	Si11 0.0	0.0501912 
5.00000e-01	1.9953e+06	3.7483e-29	7.3880e-23	Fe14 0.0	0.1446110	Fe15 0.0	0.1317248	Fe13 0.0	0.1104459	Fe16 0.0	0.0566685	FF c 0.0	0.0522385 
5.00000e-01	2.2387e+06	3.2791e-29	5.9212e-23	Fe15 0.0	0.1547189	Fe14 0.0	0.1123297	Fe16 0.0	0.1005868	FF c 0.0	0.0688557	Fe13 0.0	0.0582974	ISclinHeO  7.0	0.0565257 
5.00000e-01	2.5119e+06	2.7764e-29	4.8706e-23	Fe15 0.0	0.1426671	Fe16 0.0	0.1346339	FF c 0.0	0.0884069	Fe14 0.0	0.0705904	ISclinHeO  7.0	0.0592475 
5.00000e-01	2.8184e+06	2.3036e-29	4.1003e-23	Fe16 0.0	0.1543381	Fe15 0.0	0.1167554	FF c 0.0	0.1108813	ISclinH O  7.0	0.0637866	ISclinHeO  7.0	0.0534334 
5.00000e-01	3.1623e+06	1.9058e-29	3.5162e-23	Fe16 0.0	0.1615644	FF c 0.0	0.1364681	Fe15 0.0	0.0900082	Fe17 0.0	0.0772648	ISclinH O  7.0	0.0752265 
5.00000e-01	3.5481e+06	1.5887e-29	3.1284e-23	FF c 0.0	0.1618253	Fe16 0.0	0.1554351	Fe17 0.0	0.1189623	ISclinH O  7.0	0.0780572	Fe15 0.0	0.0655006 
5.00000e-01	3.9811e+06	1.3375e-29	2.9055e-23	FF c 0.0	0.1837632	Fe17 0.0	0.1635459	Fe16 0.0	0.1382152	ISclinH O  7.0	0.0733906	Hvin 0.0	0.0479047 
